Month,Closed PnL,value
1,34.2762,71.4791
2,52.3657,46.0984
3,53.6573,33.0655
4,24.7168,43.2461
5,33.5203,62.2714
6,47.0892,68.8368
7,54.8545,66.0186
8,-84.6412,34.897
9,94.5799,47.9
10,61.2475,64.6783
11,20.4084,83.1219
12,99.4901,77.1054
